taxroll_number,effective_build_year,net_area,basement_finished,has_fireplace,assessed_value,fully_complete,lot_size,walkout_basement,air_conditioning,site_coverage,lon,lat,valuation_group_residential.south
10041189,2007,113.6,1,1,531000,1,632.869,0,0,0.25,-113.5604217,53.44320991,1
10086851,2008,224.5,0,1,672500,1,629.49,0,0,0.24,-113.567451,53.43709803,1
10086843,2008,202.7,0,1,699500,1,681.793,0,0,0.23,-113.5665128,53.43680258,1
10086850,2011,257.1,0,1,727000,1,481.204,0,1,0.36,-113.5673482,53.43722122,1
10086844,2008,216.2,0,1,679500,1,510.327,0,0,0.28,-113.5664845,53.43692828,1
10086849,2008,278.6,0,1,738000,1,593.594,0,1,0.29,-113.5672158,53.43736452,1
10086845,2008,206.5,0,1,676000,1,541.436,0,0,0.27,-113.5664402,53.43706741,1
10086848,2008,289.2,1,1,828000,1,916.185,0,0,0.23,-113.5669563,53.43743322,1
10086846,2010,200.1,0,1,695000,1,613.257,0,0,0.26,-113.5664161,53.43723806,1
10086847,2010,262.4,0,1,757500,1,607.509,0,0,0.28,-113.5666348,53.43736466,1
10067265,2010,360.8,1,1,1169000,1,925.047,0,0,0.29,-113.5641895,53.43654251,1
10067263,2009,349.1,1,1,1126000,1,755.464,0,0,0.35,-113.5642027,53.43614717,1
10067207,2010,455.2,0,1,1325500,1,834.238,1,0,0.34,-113.5650619,53.43601551,1
10067262,2011,366.6,1,1,1162500,1,754.685,0,0,0.35,-113.5642013,53.43597643,1
10067208,2008,315.7,1,1,1020000,1,816.877,1,1,0.29,-113.5650604,53.4358223,1
10067261,2011,477.1,1,1,1320000,1,754.632,0,0,0.4,-113.5641998,53.43580569,1
10067209,2009,292.5,1,1,1183000,1,818.359,1,1,0.32,-113.5650591,53.43563359,1
10067260,2010,322.3,0,1,1111000,1,1078.535,0,0,0.26,-113.5642441,53.43555873,1
10067210,2009,368.9,0,1,1216500,1,817.93,1,0,0.35,-113.565058,53.43544937,1
10067211,2009,262.1,1,1,1032500,1,954.413,1,0,0.21,-113.5650954,53.43520239,1
10067212,2012,445.8,1,1,1852500,1,1893.818,1,0,0.18,-113.5650008,53.43494818,1
10067213,2012,359.8,1,1,1624500,1,1385.664,1,0,0.2,-113.5644026,53.43493028,1
10067216,2007,200.9,1,1,1411000,1,1142.781,1,1,0.24,-113.5635394,53.4353023,1
10067217,2012,401.7,1,1,1676000,1,1001.762,1,0,0.31,-113.5632934,53.43542496,1
10067273,2011,420.9,1,1,1326500,1,1368.844,0,0,0.25,-113.5636382,53.4359564,1
10067272,2011,285.9,0,1,847500,1,779.095,0,0,0.3,-113.5634642,53.43614223,1
10067271,2008,283.7,1,1,867500,1,764.588,0,1,0.25,-113.5632484,53.43624478,1
10067270,2012,331.5,1,1,1138000,1,750.578,0,1,0.34,-113.5630325,53.43634508,1
10067269,2010,357.7,1,1,1308500,1,839.45,0,0,0.32,-113.5628266,53.43647688,1
10067230,2011,395.6,1,1,1300000,1,1367.548,0,0,0.22,-113.5621242,53.43691687,1
10067225,2012,417,1,1,1915000,1,1012.183,1,1,0.29,-113.5612448,53.43686422,1
10067227,2012,423.5,1,1,1919000,1,896.986,1,1,0.33,-113.561239,53.43724162,1
10067228,2010,331.4,1,1,1460000,1,1288.966,0,1,0.22,-113.561297,53.43753837,1
10086842,2009,203.8,1,1,730500,1,573.866,0,1,0.28,-113.5659305,53.43678249,1
10086841,2009,236.3,0,1,754000,1,539.298,0,0,0.38,-113.5659315,53.43692627,1
10086840,2008,272,1,1,784000,1,497.263,0,1,0.36,-113.5659323,53.43706107,1
10088972,2008,242.9,0,1,716500,1,537.371,0,0,0.29,-113.5650917,53.43711642,1
10086839,2011,304.9,1,1,981000,1,518.269,0,1,0.43,-113.5659332,53.43719137,1
10088973,2008,240.3,0,1,721500,1,537.469,0,0,0.3,-113.5650925,53.43724672,1
10088974,2009,264.9,1,1,800000,1,537.603,0,0,0.34,-113.5650931,53.43738152,1
10086838,2011,271,0,1,789000,1,573.069,0,0,0.36,-113.5657981,53.43741553,1
10088975,2008,201.6,0,1,699500,1,515.379,0,0,0.36,-113.5650939,53.43750733,1
10086837,2008,257.5,0,1,759500,1,693.862,0,0,0.25,-113.5661224,53.43740099,1
10088976,2008,212.6,0,1,676500,1,515.303,0,0,0.27,-113.5650946,53.43763763,1
10086836,2009,259.4,0,1,755000,1,656.967,0,0,0.26,-113.5664013,53.43748512,1
10088977,2008,211.4,1,1,726000,1,515.292,0,0,0.33,-113.5650953,53.43776344,1
10086835,2009,227.4,1,1,744000,1,953.478,0,0,0.17,-113.5665564,53.43764743,1
10088978,2008,213.6,0,1,675000,1,525.824,0,0,0.26,-113.5650875,53.43788921,1
10086834,2011,263.6,0,1,749500,1,651.895,0,0,0.31,-113.5664461,53.43785372,1
10088979,2009,242,0,1,726000,1,594.398,0,0,0.26,-113.5650226,53.43805073,1
10086833,2010,252.4,1,1,730500,1,554.462,0,0,0.31,-113.5662534,53.43795186,1
